"FisheriesGuild","StockKeyLabel","StockKeyDescription"
"benthic","ank.27.78abd","Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)"
"demersal","bli.27.5b67","Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)"
"pelagic","boc.27.6-8","Boarfish (Capros aper) in subareas 6-8 (Celtic Seas, English Channel, and Bay of Biscay) "
"demersal","cod.27.21","Cod (Gadus morhua) in Subdivision 21 (Kattegat)"
"demersal","cod.27.47d20","Cod (Gadus morhua) in Subarea 4, Division 7.d, and Subdivision 20 (North Sea, eastern English Channel, Skagerrak)"
"demersal","cod.27.7e-k","Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas)"
"benthic","dab.27.3a4","Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)"
"elasmobranch","dgs.27.nea","Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"
"benthic","fle.27.3a4","Flounder (Platichthys flesus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)"
"demersal","had.27.46a20","Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a, and Subdivision 20  (North Sea, West of Scotland, Skagerrak) "
"demersal","had.27.7b-k","Haddock (Melanogrammus aeglefinus) in Divisions 7.b-k (southern Celtic Seas and English Channel)"
"pelagic","her.27.1-24a514a","Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)"
"pelagic","her.27.20-24","Herring (Clupea harengus) in subdivisions 20-24, spring spawners (Skagerrak, Kattegat, and western Baltic)"
"pelagic","her.27.3a47d","Herring (Clupea harengus) in Subarea 4 and divisions 3.a and 7.d, autumn spawners (North Sea, Skagerrak and Kattegat, eastern English Channel)"
"demersal","hke.27.3a46-8abd","Hake (Merluccius merluccius) in subareas 4, 6, and 7, and divisions 3.a, 8.a-b, and 8.d, Northern stock (Greater North Sea, Celtic Seas, and the northern Bay of Biscay)"
