StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
aru.27.123a4,pelagic,NA,NA,23859,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
aru.27.6b7-1012,pelagic,NA,140,36,104,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
boc.27.6-8,pelagic,NA,11286,9927,1359,NA,NA,2019,2019,NA,270900,NA,GREY,1709856
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
her.27.1-24a514a,pelagic,0.815286624203822,592899,592899,NA,0.157,0.128,2019,2019,1.24528894472362,3965000,3184000,GREEN,1709856
her.27.20-24,pelagic,1.34193548387097,41058,41058,NA,0.31,0.416,2019,2019,0.464953333333333,69743,150000,RED,1709856
her.27.3a47d,pelagic,0.8,603536,NA,NA,0.26,0.208,2019,2019,1.09214285714286,1529000,1400000,GREEN,1709856
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED,1709856
hom.27.3a4bc7d,pelagic,NA,14773,14508,265,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
nop.27.3a4,pelagic,NA,NA,36130,NA,NA,0.311,2019,2019,NA,94420,NA,GREY,1709856
spr.27.3a4,pelagic,NA,190052,190052,NA,NA,1.4,2019,2019,NA,248824,NA,GREY,1709856
spr.27.7de,pelagic,NA,NA,2252,NA,NA,0.11,NA,NA,NA,NA,NA,GREY,1709856
whb.27.1-91214,pelagic,1.23125,1709856,1709856,NA,0.32,0.394,2019,2019,2.47851066666667,5576649,2250000,RED,1709856
